blue,,red,,green,,clear,
X,Y,X,Y,X,Y,X,Y
310,0.01047291993720556,330,0.019104472449519294,340,0.015901416002914504,320,0.03939296099224676
320,0.01047291993720556,340,0.03424075529451487,350,0.019124308185370475,330,0.07384547203722203
330,0.010472919937205338,350,0.050257188172266765,360,0.0249977620346733,350,0.12909229775952735
340,0.010472715422897405,360,0.07009114111391834,380,0.03257387666803824,360,0.1864083617722777
350,0.013165136309104764,370,0.08453455501795082,390,0.040939737977711,370,0.2500193845990051
360,0.017735597097111366,400,0.15252845314540675,400,0.04731811700383015,380,0.31905081084269205
370,0.033538385353556466,410,0.1458980932206565,410,0.05322510588913065,390,0.36587821698312484
380,0.07587888773620854,420.00000000000006,0.1163488351389389,420.00000000000006,0.05772388091955749,420.00000000000006,0.4417311158678271
390,0.1542782680686069,440,0.040887471399600694,430,0.06788300288645666,430,0.47283646898050136
400,0.22467639828758867,450,0.0242719467488679,440,0.08351010423060223,450,0.5251331913316787
410,0.29456438135616303,460,0.01682885047583982,450,0.09693028694298966,460,0.5461453638274852
420.00000000000006,0.3293778110376413,470.00000000000006,0.016847740768389574,460,0.11610575610616658,470.00000000000006,0.567039709289394
430,0.36871880367676013,480,0.016849014243891736,470.00000000000006,0.16258708219030804,480,0.5727076588299382
440,0.41112345293674524,490,0.019580434994836304,480,0.211441274908024,490,0.5912188352890871
450,0.4418166713433782,500,0.02371710717905695,490,0.22154503019183414,500,0.6102851476509814
460,0.4509775396545097,510,0.03517859014808311,510,0.3460429478195238,510,0.6191633703541266
470.00000000000006,0.45976099088407574,520,0.05838416785102096,520,0.4546045295767117,520,0.6345956497582675
480,0.43801274221032194,530,0.09030643884041012,530,0.5364105012104261,530,0.6688403578791963
490,0.39924753007064817,540,0.11565664134695763,540,0.57101667213348,540,0.6896071388590144
500,0.3397541687648813,550,0.10412081548654706,550,0.5477166520413992,560,0.712059073603723
510,0.27078573164583053,570,0.22045156070761218,560,0.4903640162649757,570,0.7434968177948983
520,0.19096382053799243,580,0.41602170332878585,570,0.4268873442447756,580,0.7693858148033192
530,0.1309455106335965,590,0.5409183491910496,580,0.33600957411458654,600,0.7825561938618121
540,0.1030829490206504,600,0.6669664175775143,590,0.22684622485909922,610,0.7887189950544492
550,0.09168073167232726,610,0.7133038067604426,600,0.14309549996372783,640,0.8601761046308377
560,0.06683683768592763,620,0.7613728116080238,610,0.08775193473557497,660,0.8663997479897119
570,0.053866393909319465,630,0.8300209157937284,620,0.07331094540613514,680,0.9298180515282201
580,0.05889934977607125,640,0.8310044566957162,640,0.07881222539706467,690,0.9102184183580855
590,0.062402151103449266,650,0.8328365681696626,650,0.08376675041278148,700,0.9323234815350232
600,0.0660248855751957,670,0.8816273321461362,660,0.10100816156472192,740,0.9355007453167822
610,0.0645368050528442,680,0.9103488479770764,670,0.13764065161209105,750,0.9820128674810493
620,0.06466413840169682,690,0.8891501205007507,680,0.19383958192373474,800,0.8981787849720211
630,0.08145162304308962,700,0.9349076271123286,690,0.23500117151986732,810,0.9074728234717933
640,0.1070815527637633,720,0.9020667137904788,700,0.3012222769042622,820,0.8827897318187505
650,0.13926817478979525,740,0.9299299233580407,710,0.3361512228573128,840,0.8256250185894861
660,0.17944067101516692,750,0.9633031137581209,720,0.31099401828642637,1000.0000000000001,0.21020350488903616
670,0.21309042269174794,760,0.9581182270568118,730,0.3161180799236891,1070,0.04494150352468551
680,0.2312875404655501,770,0.9618749220253976,740,0.39096066188867196,1080,0.03764121893943384
690,0.23813581956829244,780,0.9248524903937271,750,0.47595176377107995,304.77137176938373,0.009890109890110077
700,0.2639910105033173,790,0.8831296045970465,760,0.5344499394637833,311.1332007952286,0.013846153846153841
710,0.267440765565483,800,0.89469918323963,770,0.5653200034048833,344.5328031809145,0.10483516483516497
720,0.23819526926212697,810,0.9099920345481215,780,0.564067747700691,401.78926441351894,0.3896703296703298
730,0.21758578558625474,820,0.8809537263816268,800,0.6246608826404836,406.5606361829026,0.4153846153846156
740,0.22486956875987996,830,0.8338004244215743,810,0.7127168468554017,414.51292246520876,0.4272527472527474
750,0.22444879555109687,840,0.8153754913915181,820,0.7376069944406567,315.9045725646123,0.029670329670329787
760,0.22661332002684098,850,0.829832378141449,830,0.7284491393237664,323.8568588469185,0.053406593406593594
770,0.264494249110655,860,0.8362522621685525,840,0.7494960600158036,355.6660039761432,0.15824175824175835
780,0.3715028103077588,870,0.805572118887274,850,0.7866890173467115,365.20874751491056,0.2136263736263737
790,0.5506476739471402,900.0000000000001,0.615495760633172,860,0.7973215173546051,373.1610337972167,0.27890109890109893
800,0.7344711871974815,920,0.5621902715452697,910.0000000000001,0.5863915682872489,382.7037773359841,0.34615384615384626
810,0.8197957880645368,930,0.5190531330000369,306.36182902584494,0.009890109890110077,438.36978131212726,0.5043956043956045
820,0.8281489720266502,940,0.470423985738335,322.26640159045724,0.01186813186813196,452.68389662027835,0.5380219780219782
830,0.808614011290745,950.0000000000001,0.4206385985199562,334.9900596421471,0.013846153846153841,463.81709741550696,0.5578021978021979
840,0.7997706545468685,960.0000000000001,0.37403274010469256,369.98011928429423,0.0257142857142858,494.0357852882704,0.6013186813186815
850,0.8111609398678238,970,0.33494217925233605,465.4075546719682,0.14043956043956052,503.5785288270378,0.6210989010989012
860,0.812258502714258,307.9522862823062,0.009890109890110077,481.3121272365805,0.2175824175824177,514.7117296222664,0.6151648351648353
870,0.7714715299056699,317.49502982107356,0.009890109890110077,497.2166998011929,0.23538461538461553,525.8449304174951,0.6646153846153847
880,0.7010946608239563,327.03777335984097,0.009890109890110077,501.98807157057655,0.2591208791208792,544.9304174950298,0.7021978021978024
890,0.6395708037302166,334.9900596421471,0.027692307692307683,505.168986083499,0.3065934065934066,554.4731610337972,0.7061538461538462
900.0000000000001,0.595641225693035,354.07554671968194,0.06329670329670345,514.7117296222664,0.39956043956043974,567.196819085487,0.7279120879120881
910.0000000000001,0.5699952362572012,377.93240556660044,0.08307692307692305,525.8449304174951,0.5043956043956045,573.558648111332,0.7575824175824177
920,0.5435957382637033,382.7037773359841,0.10483516483516497,576.7395626242545,0.37186813186813195,589.4632206759444,0.7516483516483518
930,0.506013011658928,387.47514910536785,0.13054945054945066,586.2823061630219,0.27098901098901107,602.1868787276343,0.7931868131868133
940,0.4607466311662005,428.82703777335985,0.08703296703296715,629.2246520874751,0.0751648351648353,616.5009940357853,0.7872527472527474
950.0000000000001,0.4120022873150031,556.0636182902584,0.10087912087912099,675.3479125248509,0.1720879120879122,622.8628230616303,0.820879120879121
960.0000000000001,0.368917561588065,562.4254473161034,0.13054945054945066,726.2425447316103,0.30263736263736274,627.6341948310139,0.8545054945054946
970,0.32289633446368493,567.196819085487,0.17604395604395606,753.2803180914514,0.5024175824175825,633.996023856859,0.8683516483516485
980,0.27756007446010933,576.7395626242545,0.3184615384615386,775.5467196819086,0.5696703296703298,646.7196819085488,0.8446153846153848
990,0.24046914031610467,603.7773359840954,0.7021978021978024,786.6799204771372,0.5578021978021979,653.0815109343937,0.8327472527472528
1000.0000000000001,0.20542543264566093,624.4532803180914,0.8030769230769232,794.6322067594434,0.5716483516483517,659.4433399602386,0.8525274725274726
1010.0000000000001,0.17754818981885956,633.996023856859,0.8347252747252749,797.8131212723658,0.6032967032967034,664.2147117296223,0.8861538461538463
1020,0.14504547817580993,657.8528827037774,0.824835164835165,804.1749502982108,0.6665934065934067,670.5765407554672,0.905934065934066
1030,0.11492298083829278,661.0337972166998,0.8347252747252749,813.7176938369781,0.7318681318681319,673.7574552683897,0.9316483516483518
1040,0.08989628530354776,664.2147117296223,0.8485714285714288,853.479125248509,0.7951648351648353,702.385685884692,0.9573626373626375
1050,0.06759729580047946,675.3479125248509,0.915824175824176,872.5646123260437,0.7437362637362639,708.7475149105368,0.9632967032967035
1060,0.05383650980962351,703.9761431411531,0.9573626373626375,882.1073558648112,0.6843956043956045,713.5188866799205,0.9435164835164837
1070,0.04355380588710145,710.337972166998,0.9593406593406595,885.2882703777336,0.6547252747252749,721.4711729622267,0.913846153846154
1080,0.03763740010905625,715.1093439363817,0.9296703296703298,891.6500994035786,0.6270329670329671,726.2425447316103,0.8881318681318683
1090,0.03149502299591356,723.0616302186879,0.8802197802197803,902.7833001988072,0.6013186813186815,735.7852882703778,0.9000000000000001
454.27435387673955,0.452967032967033,726.2425447316103,0.8742857142857144,918.6878727634196,0.5617582417582418,746.9184890656063,0.9672527472527473
476.54075546719685,0.4509890109890111,732.6043737574553,0.8841758241758243,931.4115308151094,0.49054945054945065,759.6421471172962,0.9830769230769232
465.4075546719682,0.460879120879121,775.5467196819086,0.9494505494505496,936.1829025844931,0.46483516483516496,767.5944333996024,0.9613186813186815
487.67395626242546,0.41736263736263746,785.089463220676,0.8940659340659342,944.1351888667991,0.44109890109890115,772.3658051689861,0.9415384615384617
675.3479125248509,0.22549450549450556,796.2226640159046,0.8821978021978023,956.8588469184891,0.4015384615384616,785.089463220676,0.8940659340659342
705.5666003976144,0.27296703296703306,834.3936381709742,0.820879120879121,969.5825049701789,0.34417582417582426,793.0417495029822,0.8920879120879122
754.8707753479125,0.2195604395604397,875.7455268389663,0.7476923076923079,977.5347912524851,0.2907692307692309,802.5844930417495,0.907912087912088
745.3280318091452,0.22747252747252755,880.51689860835,0.7061538461538462,985.4870775347913,0.2610989010989012,816.8986083499007,0.8960439560439561
766.0039761431412,0.2413186813186814,888.469184890656,0.6507692307692309,995.0298210735587,0.22351648351648368,823.2604373757455,0.8604395604395605
775.5467196819086,0.3105494505494506,909.1451292246522,0.5934065934065935,1009.3439363817098,0.18000000000000005,831.2127236580517,0.8367032967032968
812.127236580517,0.8307692307692309,979.1252485089464,0.2927472527472529,1020.4771371769384,0.15032967032967048,853.479125248509,0.8386813186813188
832.803180914513,0.8010989010989013,990.2584493041749,0.2432967032967034,1036.3817097415508,0.096923076923077,859.8409542743539,0.8386813186813188
855.0695825049702,0.8169230769230771,999.8011928429424,0.20769230769230784,1049.1053677932405,0.06923076923076932,867.7932405566601,0.8070329670329671
866.2027833001989,0.7931868131868133,1010.9343936381711,0.17802197802197817,1063.4194831013915,0.0514285714285716,872.5646123260437,0.7773626373626374
1095.2286282306163,0.027692307692307683,1023.6580516898608,0.13648351648351653,1076.1431411530816,0.03956043956043975,878.9264413518887,0.7279120879120881
,,1036.3817097415508,0.10087912087912099,1087.2763419483101,0.03164835164835178,883.6978131212725,0.6843956043956045
,,1057.057654075547,0.05736263736263747,1096.8190854870777,0.03164835164835178,890.0596421471173,0.6527472527472529
,,1069.7813121272366,0.04351648351648363,,,898.0119284294234,0.6131868131868132
,,1077.7335984095428,0.03956043956043975,,,907.5546719681909,0.5815384615384617
,,1092.047713717694,0.03164835164835178,,,920.2783300198807,0.5498901098901099
,,,,,,931.4115308151094,0.5103296703296704
,,,,,,937.7733598409543,0.4786813186813188
,,,,,,947.3161033797218,0.4312087912087913
,,,,,,956.8588469184891,0.39164835164835177
,,,,,,966.4015904572565,0.34417582417582426
,,,,,,977.5347912524851,0.2927472527472529
,,,,,,987.0775347912524,0.25714285714285734
,,,,,,1010.9343936381711,0.17802197802197817
,,,,,,1022.0675944333997,0.14043956043956052
,,,,,,1034.7912524850894,0.10483516483516497
,,,,,,1050.6958250497019,0.06923076923076932
,,,,,,1060.2385685884692,0.05736263736263747
,,,,,,1095.2286282306163,0.03164835164835178
,,,,,,1087.2763419483101,0.03164835164835178
